year,state,county,division_yield,division_noaa,data_item,value,cv,temp_gs,pcpn_gs,county_padded,fips_full,GDD_GS,KDD_GS,TMAX_AVG_GS,PREC_GS,CHD_GS,GDD_SGF,KDD_SGF,TMAX_AVG_SGF,PREC_SGF,CHD_SGF
2005,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",123.0,,27.759259259259256,305.054,125,17125,2015.8500000000001,320.28,27.782404371584697,305.4,62.0,697.04,149.21999999999997,31.824130434782607,89.08000000000001,30.0
2006,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",155.0,,26.37962962962963,480.568,125,17125,1880.15,185.87000000000003,26.40879781420765,480.62,37.0,698.66,117.04,31.13847826086956,161.12,20.0
2007,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178.0,,27.15740740740741,389.128,125,17125,2018.1799999999998,244.33,27.193770491803274,389.2499999999999,50.0,654.4399999999999,95.61,30.585652173913044,76.73000000000002,20.0
2008,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",182.0,,25.037037037037038,837.184,125,17125,1701.4299999999998,84.63000000000002,25.06120218579235,837.2099999999999,15.0,611.7,49.0,29.202391304347824,164.91000000000003,8.0
2009,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",165.0,,24.73148148148148,835.914,125,17125,1662.1200000000001,67.88,24.75256830601093,836.14,10.0,539.1400000000001,12.110000000000007,27.294565217391302,193.17000000000002,2.0
2010,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",141.0,,27.314814814814813,905.0019999999998,125,17125,2050.3900000000003,209.42,27.333278688524594,905.1600000000003,39.0,724.9500000000002,125.62000000000003,31.61978260869565,215.13,23.0
2011,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",142.7,,26.064814814814813,610.616,125,17125,1837.22,253.76000000000005,26.101256830601095,610.4899999999998,49.0,732.27,143.20000000000002,31.977173913043476,62.46,32.0
2012,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",110.2,,27.86111111111111,364.99799999999993,125,17125,1970.1999999999998,363.4800000000001,27.92841530054645,364.90999999999997,63.0,734.4399999999999,226.63999999999996,33.66347826086957,35.87,33.0
2013,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",163.3,,25.490740740740737,676.656,125,17125,1769.7000000000003,156.71000000000004,25.50879781420765,676.7899999999997,30.0,573.29,44.78000000000001,28.32108695652174,75.21,8.0
2014,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",195.7,,25.38888888888889,769.112,125,17125,1760.83,112.33999999999999,25.40863387978142,769.4899999999998,22.0,531.37,13.130000000000003,27.21782608695652,178.28,1.0
2015,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",161.5,,26.277777777777775,769.6199999999999,125,17125,1914.8800000000003,126.33000000000003,26.296284153005466,769.85,26.0,627.3499999999999,52.519999999999996,29.140869565217386,142.78,13.0
2016,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",198.6,,26.36111111111111,673.1,125,17125,1981.1599999999999,174.53999999999996,26.371475409836062,673.2299999999998,37.0,661.0799999999999,60.92999999999999,29.4395652173913,254.34,11.0
2017,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201.8,,26.76851851851852,534.9240000000001,125,17125,1894.2700000000002,192.10000000000002,26.78409836065574,535.65,37.0,631.23,80.67,30.059347826086956,164.33,10.0
2018,17,125,nan,4,,,,26.805555555555557,564.896,125,17125,2073.18,244.35000000000002,26.829071038251367,567.5799999999999,54.0,645.3300000000002,78.53999999999999,29.889565217391304,95.18,20.0
2019,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",169.0,,26.037037037037035,689.864,125,17125,1923.9299999999996,161.99,26.16125683060109,689.88,39.0,686.9499999999999,100.33999999999997,31.102826086956522,64.99999999999999,21.0
2020,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",194.6,2.9,25.527777777777775,534.162,125,17125,1791.2799999999993,171.23000000000002,25.521038251366118,534.49,41.0,655.08,83.53999999999999,30.007826086956523,127.35,19.0
2021,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",197.4,3.6,26.222222222222218,673.354,125,17125,1918.2099999999998,179.43999999999997,26.23224043715847,654.8400000000003,48.0,629.3599999999999,50.75,29.01304347826087,193.08000000000004,13.0
2022,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",219.9,2.5,25.916666666666668,499.3639999999999,125,17125,1871.9200000000003,166.01000000000005,25.926229508196727,499.34,30.0,654.8399999999999,63.97999999999999,29.807826086956524,136.65999999999997,15.0
2023,17,125,04,4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",208.1,3.6,26.944444444444446,381.76199999999994,125,17125,1883.84,168.72000000000008,26.905846994535516,366.0499999999999,36.0,623.99,56.03999999999999,29.208478260869562,162.35999999999999,11.0
1926,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.0,,28.240740740740737,536.194,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1927,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",25.0,,27.138888888888886,976.8839999999999,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1928,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",20.0,,26.527777777777782,745.49,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1929,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",25.0,,27.259259259259263,823.468,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",14.0,,29.342592592592595,310.38800000000003,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",36.0,,28.805555555555557,497.58600000000007,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",31.0,,28.64814814814814,693.928,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",35.0,,28.805555555555557,660.654,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1934,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",27.0,,29.37962962962963,610.87,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1935,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",25.0,,27.166666666666668,701.04,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1936,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",19.0,,30.111111111111114,424.43399999999997,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1937,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",33.0,,27.9537037037037,544.322,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1938,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",35.0,,28.37962962962963,571.246,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1939,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",33.0,,28.694444444444443,482.0919999999999,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",32.0,,27.407407407407405,459.994,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",32.0,,30.037037037037038,412.74999999999994,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1942,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40.0,,27.990740740740744,604.266,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1943,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",35.0,,28.259259259259256,640.588,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1944,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,28.712962962962962,435.1019999999999,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1945,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",39.0,,26.907407407407405,988.3140000000001,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1946,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",37.0,,27.453703703703706,620.268,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1947,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,27.86111111111111,555.752,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1948,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",44.0,,27.990740740740737,542.0359999999998,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1949,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",39.0,,26.953703703703706,529.5899999999999,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",37.0,,25.648148148148152,802.132,127,17127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1951,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",38.0,,27.027777777777775,662.686,127,17127,2010.0,246.47,27.075191256830603,662.7000000000002,53.0,725.19,137.63,31.76760869565217,74.34,28.0
1952,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",28.0,,29.175925925925924,395.47799999999995,127,17127,2229.3500000000004,505.6499999999999,29.190437158469926,395.52,83.0,770.6299999999999,226.94000000000003,33.93347826086956,101.44,33.0
1953,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",32.0,,28.962962962962962,364.23599999999993,127,17127,2233.3499999999995,494.7299999999999,29.00180327868853,364.09000000000003,97.0,748.03,194.76999999999998,33.214130434782604,81.38,36.0
1954,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.0,,29.62037037037037,455.4219999999999,127,17127,2331.53,544.5500000000001,29.63306010928961,455.79999999999984,80.0,785.3499999999999,246.58999999999997,34.25586956521739,71.41000000000001,36.0
1955,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",42.0,,28.73148148148148,586.74,127,17127,2260.38,331.2100000000001,28.758306010928955,586.9100000000001,69.0,771.83,163.21,32.52695652173912,133.13,30.0
1956,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,27.85185185185185,455.676,127,17127,2090.0499999999997,285.46000000000004,27.887431693989075,455.62000000000006,61.0,738.3800000000001,158.15000000000003,32.418695652173916,103.87,29.0
1957,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",44.0,,27.37962962962963,744.7279999999998,127,17127,2107.4999999999995,182.13,27.410546448087437,744.8599999999999,41.0,697.0600000000001,114.32,31.22065217391304,151.64,23.0
1958,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",39.0,,26.888888888888886,830.8339999999998,127,17127,2008.3500000000004,164.45999999999998,26.93087431693988,830.79,41.0,726.73,104.96,31.039565217391306,345.7100000000001,23.0
1959,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",48.0,,27.694444444444443,613.9179999999999,127,17127,2155.9700000000003,201.99000000000004,27.730109289617484,613.9399999999999,57.0,677.97,96.97,30.950869565217392,128.53,22.0
1960,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",45.0,,27.925925925925924,529.082,127,17127,2080.6600000000003,252.07999999999998,27.934098360655742,529.22,51.0,680.8299999999999,108.12,31.14630434782609,82.19999999999999,20.0
1961,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",53.0,,25.944444444444446,745.998,127,17127,1856.91,158.11999999999998,25.973934426229494,745.97,43.0,671.3499999999999,77.81999999999996,30.43934782608696,150.16,16.0
1962,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",55.0,,27.5,639.5719999999999,127,17127,2089.1999999999994,250.89999999999995,27.552677595628413,639.5699999999999,54.0,688.6200000000001,126.16,31.63195652173913,83.21000000000001,25.0
1963,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.0,,27.59259259259259,459.73999999999995,127,17127,2026.8500000000008,216.13,27.61393442622951,459.93,59.0,688.51,113.04999999999998,31.194565217391304,168.83,28.0
1964,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",52.0,,28.0,494.0299999999999,127,17127,2155.939999999999,298.36999999999995,28.022896174863387,493.82000000000005,69.0,700.4599999999999,150.54999999999998,31.713260869565215,106.89999999999998,28.0
1965,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",49.0,,27.787037037037035,688.5939999999999,127,17127,2148.39,190.63000000000002,27.81863387978142,688.75,52.0,670.7500000000001,97.67999999999999,31.048695652173908,108.42999999999999,27.0
1966,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",55.0,,26.62037037037037,733.298,127,17127,1925.7900000000002,231.72000000000003,26.648306010928955,733.2400000000002,44.0,721.83,163.19000000000003,32.23065217391304,123.47,26.0
1967,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",81.0,,25.87962962962963,683.514,127,17127,1830.2400000000002,85.52000000000004,25.88655737704917,683.66,23.0,587.1299999999999,34.75,28.333695652173915,212.74,8.0
1968,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",67.0,,27.009259259259256,646.4300000000001,127,17127,2019.2200000000005,208.88,27.043114754098358,646.1700000000001,48.0,703.82,113.22999999999999,31.036956521739125,168.74,23.0
1969,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70.0,,27.62962962962963,542.29,127,17127,2080.81,221.65,27.657650273224046,542.46,47.0,715.22,125.69,31.678043478260864,111.86,23.0
1970,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",32.0,,27.712962962962962,618.9979999999999,127,17127,2151.2999999999997,221.3,27.749016393442627,619.0900000000001,60.0,674.7500000000001,107.77000000000001,30.70804347826087,73.21,25.0
1971,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70.0,,26.90740740740741,600.4559999999999,127,17127,1974.6299999999999,171.45000000000002,26.900491803278683,600.6099999999999,50.0,623.6399999999999,59.66999999999999,29.26152173913044,214.70000000000002,14.0
1972,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",84.0,,26.824074074074073,706.1199999999999,127,17127,1999.8700000000001,179.17000000000002,26.84978142076502,706.07,48.0,628.43,74.34,29.438913043478262,251.33999999999997,18.0
1973,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",72.0,,26.472222222222225,749.0459999999998,127,17127,2037.1400000000006,197.89000000000004,26.5072131147541,749.2299999999999,48.0,695.1599999999999,100.11000000000001,30.96282608695652,127.97,23.0
1974,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",76.0,,25.93518518518518,615.188,127,17127,1887.3,140.21,25.9851912568306,615.1800000000001,34.0,680.65,101.19,30.885,121.69999999999999,23.0
1975,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",91.0,,26.277777777777782,701.04,127,17127,1979.9499999999998,185.59000000000003,26.314863387978143,701.51,47.0,658.85,79.21000000000001,29.956739130434784,247.87,18.0
1976,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",87.0,,26.212962962962962,525.78,127,17127,1828.9600000000005,144.05000000000007,26.23557377049179,525.64,36.0,639.62,90.17000000000002,29.988913043478256,144.25,18.0
1977,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",95.0,,28.509259259259256,686.308,127,17127,2295.2600000000007,273.91,28.52551912568306,686.37,54.0,750.81,148.45,32.04217391304348,153.76,24.0
1978,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.0,,27.7037037037037,534.1619999999999,127,17127,2143.9100000000003,296.79,27.726612021857925,534.4300000000001,62.0,709.1600000000001,129.23000000000002,31.381086956521735,122.16999999999997,26.0
1979,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",101.0,,26.06481481481482,867.918,127,17127,1936.6200000000001,141.83999999999997,26.07693989071038,867.5400000000002,30.0,685.0799999999998,75.87,29.98652173913044,153.6,14.0
1980,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",49.0,,28.555555555555554,478.536,127,17127,2211.6699999999996,474.1199999999999,28.598196721311478,478.1400000000001,72.0,804.4699999999999,258.17999999999995,34.580652173913045,88.00999999999999,33.0
1981,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",89.0,,26.88888888888889,773.176,127,17127,2047.3500000000006,150.92999999999998,26.906557377049182,773.2299999999998,40.0,704.8000000000001,97.12,30.84152173913043,186.12000000000003,22.0
1982,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",109.0,,26.73148148148148,596.9,127,17127,1981.5499999999995,162.92,26.775081967213115,596.82,32.0,705.6500000000001,115.06,31.25152173913044,117.12,21.0
1983,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",49.0,,27.14814814814814,790.9559999999998,127,17127,2048.6500000000005,393.61999999999995,27.196830601092888,791.3200000000002,78.0,756.68,201.32999999999998,33.22108695652174,98.85000000000001,34.0
1984,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",106.0,,26.555555555555554,667.258,127,17127,1949.3999999999999,199.45999999999998,26.581475409836063,667.1999999999998,49.0,663.97,82.46,30.44782608695652,148.30999999999997,22.0
1985,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",110.0,,27.194444444444443,815.848,127,17127,2095.5900000000006,179.61999999999998,27.216885245901636,815.94,42.0,714.25,112.28,31.239347826086963,152.89000000000001,27.0
1986,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90.0,,28.388888888888886,652.78,127,17127,2239.2,275.37999999999994,28.41683060109289,652.6700000000001,59.0,733.4500000000002,154.41,32.24739130434783,191.11,26.0
1987,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",108.0,,28.999999999999996,436.372,127,17127,2285.08,338.2699999999999,29.016502732240436,436.2699999999999,66.0,745.77,152.66,32.250652173913046,151.64000000000001,24.0
1988,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",80.0,,28.722222222222218,393.1919999999999,127,17127,2122.8300000000004,388.97,28.761311475409833,393.67,67.0,764.1100000000001,194.07,32.95499999999999,84.61,30.0
1989,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",115.0,,26.296296296296294,589.2799999999999,127,17127,1970.6500000000003,177.18999999999997,26.31524590163935,589.0400000000002,39.0,665.4900000000001,77.55000000000001,29.88434782608696,171.31,17.0
1990,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",99.0,,26.907407407407405,637.7940000000001,127,17127,2015.4400000000003,256.8800000000001,26.926939890710383,637.81,49.0,658.7399999999999,107.23,30.40413043478261,166.55,18.0
1991,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,28.083333333333332,452.628,127,17127,2289.5800000000004,288.93999999999994,28.118087431693997,452.52000000000004,63.0,744.94,155.21999999999997,32.3654347826087,99.42,31.0
1992,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",122.0,,26.10185185185185,547.116,127,17127,1930.3899999999999,113.96000000000001,26.13650273224043,547.1400000000001,28.0,688.2099999999999,77.89,30.264782608695654,155.52999999999997,18.0
1993,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",98.0,,27.01851851851852,675.894,127,17127,2094.2700000000004,289.46999999999986,27.06502732240437,676.0299999999997,57.0,763.2899999999998,155.3,32.18695652173913,127.72999999999999,29.0
1994,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",115.0,,26.972222222222218,481.07599999999996,127,17127,2002.5199999999995,180.10999999999999,26.98524590163935,481.04999999999995,48.0,675.28,77.34000000000002,30.383478260869563,91.81,23.0
1995,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90.0,,27.231481481481485,686.308,127,17127,2105.01,235.14999999999998,27.26382513661202,686.54,58.0,736.4899999999999,123.80999999999997,31.338478260869568,183.84,27.0
1996,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.0,,26.546296296296294,760.4759999999999,127,17127,2024.8799999999994,182.51000000000005,26.575355191256826,760.63,49.0,657.7600000000001,69.28000000000002,29.94782608695653,141.04,17.0
1997,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",90.0,,26.0462962962963,615.442,127,17127,1880.0700000000002,188.14000000000001,26.099125683060105,615.5499999999998,45.0,691.8599999999999,115.59000000000002,31.059130434782606,117.24000000000001,25.0
1998,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",103.0,,28.231481481481485,740.6639999999999,127,17127,2294.5,302.8399999999999,28.25087431693989,740.7399999999999,77.0,718.5699999999998,78.47000000000003,30.188478260869562,246.25000000000003,20.0
1999,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",105.0,,28.666666666666668,477.26599999999996,127,17127,2209.73,354.71,28.70387978142077,477.01000000000005,73.0,759.19,192.39000000000004,33.06782608695652,68.71999999999998,36.0
2000,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",121.0,,27.453703703703706,612.3939999999999,127,17127,2100.5299999999997,217.07000000000002,27.480327868852463,612.16,52.0,686.75,98.27000000000001,30.768695652173914,131.03,29.0
2001,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138.0,,28.185185185185187,575.31,127,17127,2211.8599999999997,227.95999999999992,28.215628415300547,575.34,46.0,744.74,131.07999999999998,31.754130434782613,212.68,24.0
2002,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",67.0,,28.88888888888889,674.116,127,17127,2344.959999999999,379.76,28.90180327868852,673.95,81.0,788.25,199.12999999999997,33.30456521739131,76.99000000000001,38.0
2003,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,,27.055555555555554,821.6899999999998,127,17127,2051.4900000000002,181.08,27.084371584699447,821.7499999999999,40.0,703.0300000000001,93.29,30.910869565217382,107.5,24.0
2004,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",133.0,,27.37037037037037,514.0959999999999,127,17127,2087.39,128.91999999999996,27.389234972677592,513.2099999999999,33.0,629.77,66.67,29.46478260869565,98.41,17.0
2005,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139.0,,28.444444444444443,638.5559999999999,127,17127,2244.41,334.10999999999996,28.468360655737705,638.7599999999999,69.0,753.61,166.38000000000002,32.32195652173913,155.61999999999998,30.0
2006,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",130.0,,27.527777777777782,855.7259999999999,127,17127,2145.68,239.38,27.55448087431694,855.7900000000001,44.0,744.2,136.67000000000002,31.729565217391304,251.45,22.0
2007,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",159.0,,29.055555555555557,427.98999999999995,127,17127,2336.7099999999996,403.61000000000007,29.09486338797814,427.08000000000004,84.0,734.05,166.76,32.47108695652174,70.53,31.0
2008,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",148.0,,27.425925925925924,631.6980000000001,127,17127,2109.4199999999996,238.41000000000003,27.442896174863385,631.57,57.0,705.76,118.75000000000001,31.44326086956522,141.84,26.0
2009,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",153.0,,26.73148148148148,805.434,127,17127,2080.6700000000005,153.26999999999998,26.754972677595628,805.5799999999999,34.0,642.06,49.260000000000005,29.29369565217391,234.69000000000003,14.0
2010,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",126.0,,29.546296296296294,496.06199999999995,127,17127,2436.2000000000003,438.43,29.579617486338805,496.23999999999995,80.0,808.1,235.59,34.1063043478261,77.82000000000001,34.0
2011,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",129.3,,27.953703703703706,1047.75,127,17127,2239.5,341.56999999999994,27.971475409836064,1047.82,70.0,786.25,175.19,32.74847826086957,116.69,32.0
2012,17,127,nan,9,,,,29.85185185185185,395.47799999999995,127,17127,2335.2500000000005,512.0600000000001,29.891803278688524,395.25,78.0,800.82,274.51,34.899565217391306,106.27000000000001,33.0
2013,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",170.7,,26.879629629629633,709.1679999999999,127,17127,2057.27,173.72,26.904207650273232,709.1899999999998,42.0,630.95,45.91,28.876304347826085,185.83999999999997,9.0
2014,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",163.2,,27.592592592592595,667.766,127,17127,2140.2000000000003,218.22999999999996,27.60622950819672,667.7400000000001,52.0,624.75,70.86999999999998,29.86413043478261,112.89,17.0
2015,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.4,,27.972222222222225,691.6419999999999,127,17127,2235.11,229.82000000000002,27.983387978142087,691.5900000000001,48.0,739.53,104.82000000000001,31.097826086956523,301.8,21.0
2016,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",138.7,,28.203703703703706,719.8359999999999,127,17127,2285.08,290.46000000000004,28.210163934426223,719.88,62.0,769.5,123.83999999999999,31.598695652173912,324.78000000000003,23.0
2017,17,127,09,9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178.8,,27.916666666666668,617.9819999999999,127,17127,2214.439999999999,206.13,27.935683060109284,617.78,58.0,710.7299999999999,103.91000000000001,30.88260869565218,96.82,27.0
2018,17,127,nan,9,,,,28.259259259259256,676.9099999999999,127,17127,2340.9100000000003,333.9799999999999,28.24786885245901,678.11,76.0,729.9799999999999,123.56000000000003,31.511521739130433,82.73,30.0
